product_id,name,category,subcategory,price,currency,colors,sizes,waterproof,stock,rating,description
P-1060,UrbanThread Trouser 12,Clothing,Trousers,56.9,USD,green|blue|beige,M|XL|XXL|XS|L,False,18,3.6,Trousers for everyday retail use. Standard weather resistance.
P-1061,NorthPeak Sneaker 1,Footwear,Sneakers,54.25,USD,green|navy|black,XL|M,False,8,4.3,Sneakers for everyday retail use. Standard weather resistance.
P-1062,UrbanThread Sneaker 2,Footwear,Sneakers,170.06,USD,grey,L|XXL|M|XS|XL,False,16,4.9,Sneakers for everyday retail use. Standard weather resistance.
P-1063,UrbanThread Sneaker 3,Footwear,Sneakers,114.5,USD,navy|black,XXL|XS|S|XL|L|M,False,15,3.4,Sneakers for everyday retail use. Standard weather resistance.
P-1064,Stone&Co Sneaker 4,Footwear,Sneakers,172.42,USD,beige|red|navy,XL|L|M|XXL,False,39,3.3,Sneakers for everyday retail use. Standard weather resistance.
P-1065,UrbanThread Sneaker 5,Footwear,Sneakers,211.94,USD,red,XXL|XS|S|XL,False,11,4.2,Sneakers for everyday retail use. Standard weather resistance.
P-1066,MetroWear Sneaker 6,Footwear,Sneakers,49.62,USD,navy|green,S|M,False,18,4.5,Sneakers for everyday retail use. Standard weather resistance.
P-1067,Stone&Co Sneaker 7,Footwear,Sneakers,109.71,USD,red|navy,XL|S,False,9,4.8,Sneakers for everyday retail use. Standard weather resistance.
P-1068,UrbanThread Sneaker 8,Footwear,Sneakers,184.98,USD,green,XL|XXL|M|S,False,7,4.0,Sneakers for everyday retail use. Standard weather resistance.
P-1069,MetroWear Sneaker 9,Footwear,Sneakers,79.43,USD,navy|red,XL|XS,False,27,4.5,Sneakers for everyday retail use. Standard weather resistance.
P-1070,NorthPeak Sneaker 10,Footwear,Sneakers,139.95,USD,red,XL|XS|M|L|XXL|S,False,30,4.1,Sneakers for everyday retail use. Standard weather resistance.
P-1071,Luma Sneaker 11,Footwear,Sneakers,107.33,USD,beige,XS|L|M|S|XL,False,20,4.4,Sneakers for everyday retail use. Standard weather resistance.
P-1072,TrailForge Sneaker 12,Footwear,Sneakers,191.26,USD,navy|green,XL|XS|L|XXL|S,False,16,3.8,Sneakers for everyday retail use. Standard weather resistance.
P-1073,NorthPeak Boot 1,Footwear,Boots,213.98,USD,navy|red|black,XL|M|L,True,40,4.0,Boots for everyday retail use. Waterproof construction.
P-1074,AeroRun Boot 2,Footwear,Boots,28.43,USD,navy|white,XS|XXL|S|M|XL,True,19,4.2,Boots for everyday retail use. Waterproof construction.
P-1075,UrbanThread Boot 3,Footwear,Boots,129.55,USD,blue|white,L|M|XL,True,26,4.7,Boots for everyday retail use. Waterproof construction.
P-1076,AeroRun Boot 4,Footwear,Boots,216.01,USD,red|grey,XXL|S|XS|XL|M|L,True,32,3.7,Boots for everyday retail use. Waterproof construction.
P-1077,NovaStep Boot 5,Footwear,Boots,18.52,USD,navy,L|M|XL|XXL|S|XS,False,20,4.8,Boots for everyday retail use. Standard weather resistance.
P-1078,MetroWear Boot 6,Footwear,Boots,216.12,USD,beige,M|L,True,24,3.9,Boots for everyday retail use. Waterproof construction.
P-1079,AeroRun Boot 7,Footwear,Boots,152.07,USD,black|blue,XL|M|XS|S|L|XXL,False,0,4.5,Boots for everyday retail use. Standard weather resistance.
P-1080,AeroRun Boot 8,Footwear,Boots,100.82,USD,navy,M|XL|L|XXL,False,5,4.7,Boots for everyday retail use. Standard weather resistance.
P-1081,MetroWear Boot 9,Footwear,Boots,190.17,USD,navy|beige,XS|XL|XXL|L|S|M,False,5,4.0,Boots for everyday retail use. Standard weather resistance.
P-1082,UrbanThread Boot 10,Footwear,Boots,37.89,USD,green|white,XS|XXL|M|XL,True,18,3.8,Boots for everyday retail use. Waterproof construction.
P-1083,MetroWear Boot 11,Footwear,Boots,105.0,USD,green|blue|beige,XL|L,True,39,4.4,Boots for everyday retail use. Waterproof construction.
P-1084,Stone&Co Boot 12,Footwear,Boots,118.53,USD,grey|red,XXL|XS|L|S,True,34,3.5,Boots for everyday retail use. Waterproof construction.
P-1085,TrailForge Running Shoe 1,Footwear,Running Shoes,107.23,USD,grey|white|red,L|M|S|XXL,False,30,3.4,Running Shoes for everyday retail use. Standard weather resistance.
P-1086,TrailForge Running Shoe 2,Footwear,Running Shoes,95.04,USD,grey|white|green,XXL|L,False,17,3.2,Running Shoes for everyday retail use. Standard weather resistance.
P-1087,NorthPeak Running Shoe 3,Footwear,Running Shoes,192.74,USD,navy|beige|green,XL|M|S,False,40,3.5,Running Shoes for everyday retail use. Standard weather resistance.
P-1088,AeroRun Running Shoe 4,Footwear,Running Shoes,68.63,USD,blue|white|beige,M|L,False,2,4.2,Running Shoes for everyday retail use. Standard weather resistance.
P-1089,UrbanThread Running Shoe 5,Footwear,Running Shoes,165.94,USD,white|navy,S|XXL|XL|M|L,False,33,4.1,Running Shoes for everyday retail use. Standard weather resistance.
P-1090,AeroRun Running Shoe 6,Footwear,Running Shoes,73.05,USD,navy|beige,XXL|M|XS|S,False,4,3.5,Running Shoes for everyday retail use. Standard weather resistance.
P-1091,MetroWear Running Shoe 7,Footwear,Running Shoes,213.23,USD,white|black|red,M|XL,False,7,4.0,Running Shoes for everyday retail use. Standard weather resistance.
P-1092,Luma Running Shoe 8,Footwear,Running Shoes,153.91,USD,beige|navy|white,XS|S|L|XXL,False,39,4.8,Running Shoes for everyday retail use. Standard weather resistance.
P-1093,Stone&Co Running Shoe 9,Footwear,Running Shoes,131.4,USD,blue|white|red,XXL|L|XS|XL,False,2,4.9,Running Shoes for everyday retail use. Standard weather resistance.
P-1094,NovaStep Running Shoe 10,Footwear,Running Shoes,79.48,USD,blue,XL|S|L,False,29,3.9,Running Shoes for everyday retail use. Standard weather resistance.
P-1095,MetroWear Running Shoe 11,Footwear,Running Shoes,209.77,USD,green|red|white,L|XL,False,26,4.9,Running Shoes for everyday retail use. Standard weather resistance.
P-1096,TrailForge Running Shoe 12,Footwear,Running Shoes,74.51,USD,navy,S|M|XS|XL|XXL,False,34,4.8,Running Shoes for everyday retail use. Standard weather resistance.
P-1097,NorthPeak Sandal 1,Footwear,Sandals,148.26,USD,grey|blue,L|XS,False,13,4.4,Sandals for everyday retail use. Standard weather resistance.
P-1098,NorthPeak Sandal 2,Footwear,Sandals,138.62,USD,white,S|XL|XXL,False,4,4.7,Sandals for everyday retail use. Standard weather resistance.
P-1099,Stone&Co Sandal 3,Footwear,Sandals,129.95,USD,white,XL|XS|M,False,9,5.0,Sandals for everyday retail use. Standard weather resistance.
P-1100,AeroRun Sandal 4,Footwear,Sandals,127.12,USD,black,XS|M|S,False,37,3.8,Sandals for everyday retail use. Standard weather resistance.
P-1101,NorthPeak Sandal 5,Footwear,Sandals,53.2,USD,beige,XS|XXL|L|S|M|XL,False,28,4.1,Sandals for everyday retail use. Standard weather resistance.
P-1102,NorthPeak Sandal 6,Footwear,Sandals,208.97,USD,grey|red|white,XS|L,False,25,4.0,Sandals for everyday retail use. Standard weather resistance.
P-1103,NovaStep Sandal 7,Footwear,Sandals,39.81,USD,blue,XL|S|XS|L,False,17,4.3,Sandals for everyday retail use. Standard weather resistance.
P-1104,TrailForge Sandal 8,Footwear,Sandals,136.24,USD,grey|red,XL|L|XS|M|XXL|S,False,27,4.0,Sandals for everyday retail use. Standard weather resistance.
P-1105,TrailForge Sandal 9,Footwear,Sandals,64.16,USD,beige|red,M|L,False,20,4.4,Sandals for everyday retail use. Standard weather resistance.
P-1106,AeroRun Sandal 10,Footwear,Sandals,93.61,USD,navy|black|beige,XS|L,False,6,4.5,Sandals for everyday retail use. Standard weather resistance.
P-1107,AeroRun Sandal 11,Footwear,Sandals,93.27,USD,black|grey|beige,M|XS|L|S|XXL|XL,False,18,4.3,Sandals for everyday retail use. Standard weather resistance.
P-1108,Stone&Co Sandal 12,Footwear,Sandals,89.03,USD,navy,XS|M|XL,False,7,4.6,Sandals for everyday retail use. Standard weather resistance.
P-1109,NorthPeak Backpack 1,Accessories,Backpacks,133.97,USD,grey|black|blue,ONE,False,17,4.5,Backpacks for everyday retail use. Standard weather resistance.
P-1110,NorthPeak Backpack 2,Accessories,Backpacks,80.41,USD,green,ONE,True,36,4.4,Backpacks for everyday retail use. Waterproof construction.
P-1111,NorthPeak Backpack 3,Accessories,Backpacks,32.06,USD,red,ONE,False,24,4.0,Backpacks for everyday retail use. Standard weather resistance.
P-1112,TrailForge Backpack 4,Accessories,Backpacks,86.86,USD,blue|black|navy,ONE,True,10,4.6,Backpacks for everyday retail use. Waterproof construction.
P-1113,NovaStep Backpack 5,Accessories,Backpacks,28.05,USD,beige|red|grey,ONE,True,28,3.9,Backpacks for everyday retail use. Waterproof construction.
P-1114,TrailForge Backpack 6,Accessories,Backpacks,61.54,USD,blue|green,ONE,True,37,4.1,Backpacks for everyday retail use. Waterproof construction.
P-1115,MetroWear Backpack 7,Accessories,Backpacks,152.76,USD,black|navy|blue,ONE,True,19,4.9,Backpacks for everyday retail use. Waterproof construction.
P-1116,Luma Backpack 8,Accessories,Backpacks,173.0,USD,blue|black,ONE,False,31,4.5,Backpacks for everyday retail use. Standard weather resistance.
P-1117,Stone&Co Backpack 9,Accessories,Backpacks,53.49,USD,white|black|red,ONE,True,2,4.0,Backpacks for everyday retail use. Waterproof construction.
P-1118,TrailForge Backpack 10,Accessories,Backpacks,110.87,USD,beige|grey|red,ONE,True,40,4.0,Backpacks for everyday retail use. Waterproof construction.
P-1119,TrailForge Backpack 11,Accessories,Backpacks,41.27,USD,navy,ONE,True,23,3.4,Backpacks for everyday retail use. Waterproof construction.
P-1120,MetroWear Backpack 12,Accessories,Backpacks,188.59,USD,blue|red|green,ONE,True,21,3.6,Backpacks for everyday retail use. Waterproof construction.
P-1121,UrbanThread Belt 1,Accessories,Belts,175.38,USD,blue|grey|beige,ONE,False,12,4.8,Belts for everyday retail use. Standard weather resistance.
P-1122,AeroRun Belt 2,Accessories,Belts,88.57,USD,blue,ONE,False,9,3.7,Belts for everyday retail use. Standard weather resistance.
P-1123,AeroRun Belt 3,Accessories,Belts,53.05,USD,blue|navy|white,ONE,False,31,4.0,Belts for everyday retail use. Standard weather resistance.
P-1124,NovaStep Belt 4,Accessories,Belts,131.87,USD,white|beige|navy,ONE,False,20,3.5,Belts for everyday retail use. Standard weather resistance.
P-1125,NovaStep Belt 5,Accessories,Belts,31.79,USD,grey|beige|green,ONE,False,37,3.3,Belts for everyday retail use. Standard weather resistance.
P-1126,Luma Belt 6,Accessories,Belts,120.48,USD,navy|black,ONE,False,3,3.9,Belts for everyday retail use. Standard weather resistance.
P-1127,UrbanThread Belt 7,Accessories,Belts,75.99,USD,beige|red|grey,ONE,False,35,4.9,Belts for everyday retail use. Standard weather resistance.
P-1128,NorthPeak Belt 8,Accessories,Belts,167.26,USD,red|green,ONE,False,38,4.1,Belts for everyday retail use. Standard weather resistance.
P-1129,NorthPeak Belt 9,Accessories,Belts,48.47,USD,blue|beige,ONE,False,21,5.0,Belts for everyday retail use. Standard weather resistance.
P-1130,AeroRun Belt 10,Accessories,Belts,35.03,USD,red,ONE,False,28,5.0,Belts for everyday retail use. Standard weather resistance.
P-1131,AeroRun Belt 11,Accessories,Belts,123.86,USD,white|green,ONE,False,24,3.9,Belts for everyday retail use. Standard weather resistance.
P-1132,NorthPeak Belt 12,Accessories,Belts,86.35,USD,white|black|green,ONE,False,6,4.2,Belts for everyday retail use. Standard weather resistance.
P-1133,Luma Cap 1,Accessories,Caps,96.09,USD,green|navy|black,ONE,False,37,4.4,Caps for everyday retail use. Standard weather resistance.
P-1134,Luma Cap 2,Accessories,Caps,203.18,USD,beige|blue|grey,ONE,False,5,3.8,Caps for everyday retail use. Standard weather resistance.
P-1135,TrailForge Cap 3,Accessories,Caps,94.09,USD,blue,ONE,False,27,4.1,Caps for everyday retail use. Standard weather resistance.
P-1136,Luma Cap 4,Accessories,Caps,21.68,USD,red,ONE,False,21,4.9,Caps for everyday retail use. Standard weather resistance.
P-1137,Stone&Co Cap 5,Accessories,Caps,116.23,USD,green,ONE,False,4,3.7,Caps for everyday retail use. Standard weather resistance.
P-1138,NorthPeak Cap 6,Accessories,Caps,177.2,USD,white|beige|grey,ONE,False,8,4.3,Caps for everyday retail use. Standard weather resistance.
P-1139,AeroRun Cap 7,Accessories,Caps,49.16,USD,green|white|red,ONE,False,2,3.9,Caps for everyday retail use. Standard weather resistance.
P-1140,Stone&Co Cap 8,Accessories,Caps,154.63,USD,grey|beige,ONE,False,28,3.6,Caps for everyday retail use. Standard weather resistance.
P-1141,NovaStep Cap 9,Accessories,Caps,66.31,USD,white,ONE,False,36,5.0,Caps for everyday retail use. Standard weather resistance.
P-1142,Luma Cap 10,Accessories,Caps,111.26,USD,beige|blue,ONE,False,12,4.6,Caps for everyday retail use. Standard weather resistance.
P-1143,Luma Cap 11,Accessories,Caps,45.96,USD,navy,ONE,False,23,4.2,Caps for everyday retail use. Standard weather resistance.
P-1144,UrbanThread Cap 12,Accessories,Caps,38.72,USD,blue|beige,ONE,False,10,3.7,Caps for everyday retail use. Standard weather resistance.
P-1145,AeroRun Scarve 1,Accessories,Scarves,200.87,USD,blue|navy,ONE,False,28,4.8,Scarves for everyday retail use. Standard weather resistance.
P-1146,MetroWear Scarve 2,Accessories,Scarves,205.96,USD,beige,ONE,False,32,3.9,Scarves for everyday retail use. Standard weather resistance.
P-1147,UrbanThread Scarve 3,Accessories,Scarves,96.01,USD,red|black,ONE,False,20,4.9,Scarves for everyday retail use. Standard weather resistance.
P-1148,TrailForge Scarve 4,Accessories,Scarves,187.51,USD,green,ONE,False,2,3.7,Scarves for everyday retail use. Standard weather resistance.
P-1149,AeroRun Scarve 5,Accessories,Scarves,185.61,USD,navy|red|grey,ONE,False,0,4.8,Scarves for everyday retail use. Standard weather resistance.
P-1150,Stone&Co Scarve 6,Accessories,Scarves,21.84,USD,beige,ONE,False,7,4.6,Scarves for everyday retail use. Standard weather resistance.
P-1151,UrbanThread Scarve 7,Accessories,Scarves,66.0,USD,red,ONE,False,26,4.4,Scarves for everyday retail use. Standard weather resistance.
P-1152,UrbanThread Scarve 8,Accessories,Scarves,143.81,USD,navy,ONE,False,38,4.2,Scarves for everyday retail use. Standard weather resistance.
P-1153,Stone&Co Scarve 9,Accessories,Scarves,145.65,USD,green|navy|red,ONE,False,0,4.3,Scarves for everyday retail use. Standard weather resistance.
P-1154,MetroWear Scarve 10,Accessories,Scarves,66.59,USD,blue,ONE,False,33,5.0,Scarves for everyday retail use. Standard weather resistance.
P-1155,NorthPeak Scarve 11,Accessories,Scarves,31.67,USD,navy|black,ONE,False,40,3.9,Scarves for everyday retail use. Standard weather resistance.
P-1156,NorthPeak Scarve 12,Accessories,Scarves,93.41,USD,blue|green,ONE,False,15,4.5,Scarves for everyday retail use. Standard weather resistance.
P-1157,TrailForge Sunglasse 1,Accessories,Sunglasses,144.91,USD,black,ONE,False,22,4.2,Sunglasses for everyday retail use. Standard weather resistance.
P-1158,AeroRun Sunglasse 2,Accessories,Sunglasses,182.33,USD,navy|white|red,ONE,False,40,3.5,Sunglasses for everyday retail use. Standard weather resistance.
P-1159,NovaStep Sunglasse 3,Accessories,Sunglasses,45.24,USD,grey,ONE,False,12,3.3,Sunglasses for everyday retail use. Standard weather resistance.
P-1160,NorthPeak Sunglasse 4,Accessories,Sunglasses,58.29,USD,grey|navy,ONE,False,25,5.0,Sunglasses for everyday retail use. Standard weather resistance.
